raterID;attractiveness;targetID;sex;ethnicity;zAge;zHeight;zBMI;sqzAge;sqzHeight;sqzBMI;zWCptsPB;zAttractiveness;zMouthCurv;zfWHR;meanAthlAttr
R156;4;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;0.5068;0.16;0.2;0.7922
R158;3;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;-0.1781;0.16;0.2;0.7922
R159;3;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;-0.1781;0.16;0.2;0.7922
R165;5;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.1918;0.16;0.2;0.7922
R169;2;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;-0.863;0.16;0.2;0.7922
R170;5;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.1918;0.16;0.2;0.7922
R171;5;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.1918;0.16;0.2;0.7922
R172;5;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.1918;0.16;0.2;0.7922
R173;5;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.1918;0.16;0.2;0.7922
R123;2;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;-0.863;-1.26;-1.1;0.1929
R124;4;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;0.5068;-1.26;-1.1;0.1929
R125;3;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;-0.1781;-1.26;-1.1;0.1929
R127;4;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;0.5068;-1.26;-1.1;0.1929
R130;3;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;-0.1781;-1.26;-1.1;0.1929
R131;5;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;1.1918;-1.26;-1.1;0.1929
R137;2;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;-0.863;-1.26;-1.1;0.1929
R138;5;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;1.1918;-1.26;-1.1;0.1929
R143;4;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;0.5068;-1.26;-1.1;0.1929
R146;3;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;-0.1781;-1.26;-1.1;0.1929
R149;2;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;-0.863;-1.26;-1.1;0.1929
R150;3;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;-0.1781;-1.26;-1.1;0.1929
R152;5;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;1.1918;-1.26;-1.1;0.1929
R153;5;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;1.1918;-1.26;-1.1;0.1929
R155;5;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;1.1918;-1.26;-1.1;0.1929
R156;7;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;2.5616;-1.26;-1.1;0.1929
R158;4;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;0.5068;-1.26;-1.1;0.1929
R159;2;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;-0.863;-1.26;-1.1;0.1929
R165;2;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;-0.863;-1.26;-1.1;0.1929
R169;1;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;-1.5479;-1.26;-1.1;0.1929
R170;2;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;-0.863;-1.26;-1.1;0.1929
R171;1;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;-1.5479;-1.26;-1.1;0.1929
R172;6;F09;female;Cauc;-0.38;0.61;1.47;0.15;0.37;2.15;-0.69;1.8767;-1.26;-1.1;0.1929
