no,noNo,orgCommit,turnoverInt,orgValues,t.quit,t.looking,t.possibility,o.emotional,o.contnuous,o.specification
381,117,67,18,19,8,5,6,22,22,23
382,118,37,20,14,7,6,7,12,12,13
383,119,68,17,20,6,5,6,23,22,23
384,120,59,20,17,7,6,7,20,19,20
385,121,62,10,19,3,3,4,22,18,22
386,122,73,14,21,6,4,4,23,25,25
387,123,70,16,15,6,4,6,23,25,22
388,124,64,17,15,6,6,5,19,21,24
389,125,64,10,14,3,2,5,20,20,24
390,126,68,12,16,3,3,6,27,23,18
391,127,64,19,17,7,6,6,23,20,21
392,128,70,17,20,6,5,6,24,22,24
393,129,64,14,17,5,3,6,23,20,21
394,130,59,18,16,6,6,6,20,18,21
395,131,59,15,17,5,6,4,21,18,20
396,132,75,15,21,4,6,5,25,25,25
397,133,69,15,18,5,5,5,28,15,26
398,134,65,16,20,6,4,6,25,20,20
399,135,49,18,14,7,5,6,14,16,19
400,136,84,9,24,3,2,4,28,26,30
401,137,72,16,20,6,5,5,27,23,22
402,138,70,18,15,7,5,6,26,22,22
403,139,67,11,20,4,4,3,21,24,22
404,140,62,14,20,5,4,5,22,20,20
405,141,61,14,18,4,4,6,18,19,24
406,142,57,16,17,5,5,6,17,20,20
407,143,53,16,24,5,6,5,18,18,17
408,144,64,15,22,6,5,5,22,23,19
409,145,69,15,17,5,5,5,22,21,26
410,146,54,17,15,5,6,6,19,17,18
411,147,60,14,15,5,4,5,18,20,22
412,148,58,16,17,6,5,5,21,17,20
413,149,56,17,19,7,5,5,23,17,16
414,150,67,16,10,6,2,8,26,19,22
415,151,63,20,16,8,6,6,24,18,21
416,152,62,13,19,3,4,6,22,18,22
417,153,65,12,16,2,4,6,22,22,21
418,154,65,12,18,4,2,6,24,21,20
419,155,65,18,23,6,4,8,20,23,22
420,156,66,12,18,4,4,4,19,24,23
421,157,73,15,23,6,4,5,23,25,25
422,158,75,14,20,4,4,6,25,25,25
423,159,66,16,18,6,4,6,24,21,21
424,160,65,12,17,3,3,6,24,23,18
